fy,id,perCap,fillKey
2005,VA,18.72,1
2006,VA,9.8,1
2007,VA,16.93,1
2008,VA,10.13,1
2009,VA,9.89,1
2010,VA,22.74,1
2011,VA,6.73,1
2012,VA,13.2,1
2013,VA,3.74,1
2014,VA,5.28,1
2015,VA,6.51,1
2001,VT,44.72,2
2002,VT,34.46,2
2003,VT,16.48,1
2004,VT,10.79,1
2005,VT,56.98,3
2006,VT,12.17,1
2007,VT,17.94,1
2008,VT,17.49,1
2009,VT,3.13,1
2010,VT,25.23,2
2011,VT,41.62,2
2012,VT,25.19,2
2013,VT,63.91,3
2014,VT,0.47,1
2015,VT,31.07,2
2001,WA,20.47,1
2002,WA,22.8,1
2003,WA,15.05,1
2004,WA,7.1,1
2005,WA,17.97,1
2006,WA,16.41,1
2007,WA,13.64,1
2008,WA,14.08,1
2009,WA,9.28,1
2010,WA,49.79,2
2011,WA,19.71,1
2012,WA,16.13,1
2013,WA,3.38,1
2014,WA,6.24,1
2015,WA,3.57,1
2001,WI,22.63,1
2002,WI,19.27,1
2003,WI,18.21,1
2004,WI,6.03,1
2005,WI,24.12,1
2006,WI,12.55,1
2007,WI,13.74,1
2008,WI,12.7,1
2009,WI,22.95,1
2010,WI,19.1,1
2011,WI,12.81,1
2012,WI,12.14,1
2013,WI,16.33,1
2014,WI,6.12,1
2015,WI,6.47,1
2001,WV,15.65,1
2002,WV,11.03,1
2003,WV,15.65,1
2004,WV,18.94,1
2005,WV,40.65,2
2006,WV,5.19,1
2007,WV,25.49,2
2008,WV,18.13,1
2009,WV,7.94,1
2010,WV,12.88,1
2011,WV,5.29,1
2012,WV,26.31,2
2013,WV,2.46,1
2014,WV,6.19,1
2015,WV,1.91,1
2001,WY,56.81,3
2002,WY,20.83,1
2003,WY,18.89,1
2004,WY,12.58,1
2005,WY,61.43,3
2006,WY,26.9,2
2007,WY,10.64,1
2008,WY,16.44,1
2009,WY,3.44,1
2010,WY,13.97,1
2011,WY,54.18,3
2012,WY,11.55,1
2013,WY,0.33,1
2014,WY,1.07,1
2015,WY,3.99,1
